id,molecule,type,x,y,z
1,1,1,2.20289853166522,-5.34989643404411,4.72049685356833
2,1,1,2.832298112141,-5.34989643404411,4.72049685356833
3,1,1,3.46169769261678,-5.34989643404411,4.72049685356833
4,1,1,4.09109727309256,-5.34989643404411,4.72049685356833
5,1,1,4.72049685356833,-5.34989643404411,4.72049685356833
6,1,1,5.34989643404411,-5.34989643404411,4.72049685356833
7,1,1,5.97929601451989,-5.34989643404411,4.72049685356833
8,1,1,6.60869559499567,-5.34989643404411,4.72049685356833
9,1,1,7.23809517547145,-5.34989643404411,4.72049685356833
10,1,1,7.86749475594722,-5.34989643404411,4.72049685356833
11,1,1,8.496894336423,-5.34989643404411,4.72049685356833
12,1,1,9.12629391689878,-5.34989643404411,4.72049685356833
13,1,1,-9.12629391689877,-4.72049685356833,4.72049685356833
14,1,1,-8.496894336423,-4.72049685356833,4.72049685356833
15,1,1,-7.86749475594722,-4.72049685356833,4.72049685356833
16,1,1,-7.23809517547144,-4.72049685356833,4.72049685356833
17,1,1,-6.60869559499566,-4.72049685356833,4.72049685356833
18,1,1,-5.97929601451989,-4.72049685356833,4.72049685356833
19,1,1,-5.34989643404411,-4.72049685356833,4.72049685356833
20,1,1,-4.72049685356833,-4.72049685356833,4.72049685356833
21,1,1,-4.09109727309255,-4.72049685356833,4.72049685356833
22,1,1,-3.46169769261677,-4.72049685356833,4.72049685356833
23,1,1,-2.832298112141,-4.72049685356833,4.72049685356833
24,1,1,-2.20289853166522,-4.72049685356833,4.72049685356833
25,1,1,-1.57349895118944,-4.72049685356833,4.72049685356833
26,1,1,-0.944099370713664,-4.72049685356833,4.72049685356833
27,1,1,-0.314699790237887,-4.72049685356833,4.72049685356833
28,1,1,0.314699790237891,-4.72049685356833,4.72049685356833
29,1,1,0.944099370713669,-4.72049685356833,4.72049685356833
30,1,1,1.57349895118945,-4.72049685356833,4.72049685356833
31,1,1,-9.12629391689877,-8.496894336423,-9.12629391689877
32,1,1,-8.496894336423,-8.496894336423,-9.12629391689877
33,1,1,-7.86749475594722,-8.496894336423,-9.12629391689877
34,1,1,-7.23809517547144,-8.496894336423,-9.12629391689877
35,1,1,-6.60869559499566,-8.496894336423,-9.12629391689877
36,1,1,-5.97929601451989,-8.496894336423,-9.12629391689877
37,1,1,-5.34989643404411,-8.496894336423,-9.12629391689877
38,1,1,-4.72049685356833,-8.496894336423,-9.12629391689877
39,1,1,-4.09109727309255,-8.496894336423,-9.12629391689877
40,1,1,-3.46169769261677,-8.496894336423,-9.12629391689877
41,1,1,-2.832298112141,-8.496894336423,-9.12629391689877
42,1,1,-2.20289853166522,-8.496894336423,-9.12629391689877
43,1,1,-1.57349895118944,-8.496894336423,-9.12629391689877
44,1,1,-0.944099370713664,-8.496894336423,-9.12629391689877
45,1,1,-0.314699790237887,-8.496894336423,-9.12629391689877
46,1,1,0.314699790237891,-8.496894336423,-9.12629391689877
47,1,1,0.944099370713669,-8.496894336423,-9.12629391689877
48,1,1,1.57349895118945,-8.496894336423,-9.12629391689877
49,1,1,2.20289853166522,-8.496894336423,-9.12629391689877
50,1,1,2.832298112141,-8.496894336423,-9.12629391689877
51,1,1,3.46169769261678,-8.496894336423,-9.12629391689877
52,1,1,4.09109727309256,-8.496894336423,-9.12629391689877
53,1,1,4.72049685356833,-8.496894336423,-9.12629391689877
54,1,1,5.34989643404411,-8.496894336423,-9.12629391689877
55,1,1,5.97929601451989,-8.496894336423,-9.12629391689877
56,1,1,6.60869559499567,-8.496894336423,-9.12629391689877
57,1,1,7.23809517547145,-8.496894336423,-9.12629391689877
58,1,1,7.86749475594722,-8.496894336423,-9.12629391689877
59,1,1,8.496894336423,-8.496894336423,-9.12629391689877
60,1,1,9.12629391689878,-8.496894336423,-9.12629391689877
61,1,1,-9.12629391689877,-7.86749475594722,-9.12629391689877
62,1,1,-8.496894336423,-7.86749475594722,-9.12629391689877
63,1,1,-7.86749475594722,-7.86749475594722,-9.12629391689877
64,1,1,-7.23809517547144,-7.86749475594722,-9.12629391689877
65,1,1,-6.60869559499566,-7.86749475594722,-9.12629391689877
66,1,1,-5.97929601451989,-7.86749475594722,-9.12629391689877
67,1,1,-5.34989643404411,-7.86749475594722,-9.12629391689877
68,1,1,-4.72049685356833,-7.86749475594722,-9.12629391689877
69,1,1,-4.09109727309255,-7.86749475594722,-9.12629391689877
70,1,1,-3.46169769261677,-7.86749475594722,-9.12629391689877
71,1,1,-2.832298112141,-7.86749475594722,-9.12629391689877
72,1,1,-2.20289853166522,-7.86749475594722,-9.12629391689877
73,1,1,-1.57349895118944,-7.86749475594722,-9.12629391689877
74,1,1,-0.944099370713664,-7.86749475594722,-9.12629391689877
75,1,1,-0.314699790237887,-7.86749475594722,-9.12629391689877
76,1,1,0.314699790237891,-7.86749475594722,-9.12629391689877
77,1,1,0.944099370713669,-7.86749475594722,-9.12629391689877
78,1,1,1.57349895118945,-7.86749475594722,-9.12629391689877
79,1,1,2.20289853166522,-7.86749475594722,-9.12629391689877
80,1,1,2.832298112141,-7.86749475594722,-9.12629391689877
81,1,1,3.46169769261678,-7.86749475594722,-9.12629391689877
82,1,1,4.09109727309256,-7.86749475594722,-9.12629391689877
83,1,1,4.72049685356833,-7.86749475594722,-9.12629391689877
84,1,1,5.34989643404411,-7.86749475594722,-9.12629391689877
85,1,1,5.97929601451989,-7.86749475594722,-9.12629391689877
86,1,1,6.60869559499567,-7.86749475594722,-9.12629391689877
87,1,1,7.23809517547145,-7.86749475594722,-9.12629391689877
88,1,1,7.86749475594722,-7.86749475594722,-9.12629391689877
89,1,1,8.496894336423,-7.86749475594722,-9.12629391689877
90,1,1,9.12629391689878,-7.86749475594722,-9.12629391689877
91,1,1,-9.12629391689877,-7.23809517547144,-9.12629391689877
92,1,1,-8.496894336423,-7.23809517547144,-9.12629391689877
93,1,1,-7.86749475594722,-7.23809517547144,-9.12629391689877
94,1,1,-7.23809517547144,-7.23809517547144,-9.12629391689877
95,1,1,-6.60869559499566,-7.23809517547144,-9.12629391689877
96,1,1,-5.97929601451989,-7.23809517547144,-9.12629391689877
97,1,1,-5.34989643404411,-7.23809517547144,-9.12629391689877
98,1,1,-4.72049685356833,-7.23809517547144,-9.12629391689877
99,1,1,-4.09109727309255,-7.23809517547144,-9.12629391689877
100,1,1,-3.46169769261677,-7.23809517547144,-9.12629391689877
101,1,1,-2.832298112141,-7.23809517547144,-9.12629391689877
102,1,1,-2.20289853166522,-7.23809517547144,-9.12629391689877
103,1,1,-1.57349895118944,-7.23809517547144,-9.12629391689877
104,1,1,-0.944099370713664,-7.23809517547144,-9.12629391689877
105,1,1,-0.314699790237887,-7.23809517547144,-9.12629391689877
106,1,1,0.314699790237891,-7.23809517547144,-9.12629391689877
107,1,1,0.944099370713669,-7.23809517547144,-9.12629391689877
108,1,1,1.57349895118945,-7.23809517547144,-9.12629391689877
109,1,1,2.20289853166522,-7.23809517547144,-9.12629391689877
110,1,1,2.832298112141,-7.23809517547144,-9.12629391689877
111,1,1,3.46169769261678,-7.23809517547144,-9.12629391689877
112,1,1,4.09109727309256,-7.23809517547144,-9.12629391689877
113,1,1,4.72049685356833,-7.23809517547144,-9.12629391689877
114,1,1,5.34989643404411,-7.23809517547144,-9.12629391689877
115,1,1,5.97929601451989,-7.23809517547144,-9.12629391689877
116,1,1,6.60869559499567,-7.23809517547144,-9.12629391689877
117,1,1,7.23809517547145,-7.23809517547144,-9.12629391689877
118,1,1,7.86749475594722,-7.23809517547144,-9.12629391689877
119,1,1,8.496894336423,-7.23809517547144,-9.12629391689877
120,1,1,9.12629391689878,-7.23809517547144,-9.12629391689877
121,1,1,-9.12629391689877,-6.60869559499566,-9.12629391689877
122,1,1,-8.496894336423,-6.60869559499566,-9.12629391689877
123,1,1,-7.86749475594722,-6.60869559499566,-9.12629391689877
124,1,1,-7.23809517547144,-6.60869559499566,-9.12629391689877
125,1,1,-6.60869559499566,-6.60869559499566,-9.12629391689877
126,1,1,-5.97929601451989,-6.60869559499566,-9.12629391689877
127,1,1,-5.34989643404411,-6.60869559499566,-9.12629391689877
128,1,1,-4.72049685356833,-6.60869559499566,-9.12629391689877
129,1,1,-4.09109727309255,-6.60869559499566,-9.12629391689877
130,1,1,-3.46169769261677,-6.60869559499566,-9.12629391689877
131,1,1,-2.832298112141,-6.60869559499566,-9.12629391689877
132,1,1,-2.20289853166522,-6.60869559499566,-9.12629391689877
133,1,1,-1.57349895118944,-6.60869559499566,-9.12629391689877
134,1,1,-0.944099370713664,-6.60869559499566,-9.12629391689877
135,1,1,-0.314699790237887,-6.60869559499566,-9.12629391689877
136,1,1,0.314699790237891,-6.60869559499566,-9.12629391689877
137,1,1,0.944099370713669,-6.60869559499566,-9.12629391689877
138,1,1,1.57349895118945,-6.60869559499566,-9.12629391689877
139,1,1,2.20289853166522,-6.60869559499566,-9.12629391689877
140,1,1,2.832298112141,-6.60869559499566,-9.12629391689877
141,1,1,3.46169769261678,-6.60869559499566,-9.12629391689877
142,1,1,4.09109727309256,-6.60869559499566,-9.12629391689877
143,1,1,4.72049685356833,-6.60869559499566,-9.12629391689877
144,1,1,5.34989643404411,-6.60869559499566,-9.12629391689877
145,1,1,5.97929601451989,-6.60869559499566,-9.12629391689877
146,1,1,6.60869559499567,-6.60869559499566,-9.12629391689877
147,1,1,7.23809517547145,-6.60869559499566,-9.12629391689877
